Bird,Day,Trial,Site,Time,EventType
darkblue15,30,4,13,1472.41999581456,3
darkblue15,30,4,10,1473.88899810612,3
darkblue15,30,4,18,1474.83399398625,3
darkblue15,30,4,25,1475.48099309206,3
darkblue15,30,4,34,1476.14599652588,3
darkblue15,30,4,13,1481.97100013494,3
darkblue15,30,4,4,1507.82699547708,3
darkblue15,30,4,5,1508.47500041127,3
darkblue15,30,4,6,1509.47199761868,3
darkblue15,30,4,8,1511.62399761379,2
darkblue15,30,4,16,1512.4809935689,1
darkblue15,30,4,5,1515.10499864817,3
darkblue15,30,4,8,1516.88899621367,3
darkblue15,30,4,16,1518.46399269998,2
darkblue15,30,4,36,1522.83699251711,3
darkblue15,30,4,27,1523.34499619901,3
darkblue15,30,4,26,1524.09699372947,3
darkblue15,30,4,34,1524.79699999094,3
darkblue15,30,4,41,1525.72399154305,3
darkblue15,30,4,33,1526.23099945486,3
darkblue15,30,4,17,1527.54299193621,3
darkblue15,30,4,9,1528.18999104202,1
darkblue15,30,4,9,1528.29499952495,2
darkblue15,30,4,51,1533.12399163842,3
darkblue15,30,4,52,1533.49099829793,3
darkblue15,30,4,43,1534.03399474919,3
darkblue15,30,4,42,1534.76799800992,3
darkblue15,30,4,33,1535.4679942131,3
darkblue15,30,4,34,1535.90499646962,3
darkblue15,30,4,25,1536.63999550045,3
darkblue15,30,4,17,1537.49699145555,3
darkblue15,30,4,9,1538.26699331403,3
darkblue15,30,4,1,1538.80899399519,3
darkblue15,30,4,2,1539.2469920218,3
darkblue15,30,4,10,1539.68399427831,3
darkblue15,30,4,3,1540.26099778712,3
darkblue15,30,4,4,1540.76899141073,3
darkblue15,30,4,12,1541.41599051654,3
darkblue15,30,4,28,1542.23799370229,3
darkblue15,30,4,44,1544.14499402046,3
darkblue15,30,4,43,1544.63499337435,3
darkblue15,30,4,9,1549.13099594414,3
darkblue15,30,4,18,1549.91799630225,3
darkblue15,30,4,26,1550.30299723148,3
darkblue15,30,4,42,1552.61199697852,1
darkblue15,30,4,58,1555.77899850905,3
darkblue15,30,4,49,1556.39099478722,3
darkblue15,30,4,50,1556.86299987137,3
darkblue15,30,4,41,1557.5979989022,3
darkblue15,30,4,33,1558.19299668074,3
darkblue15,30,4,34,1558.77000018954,3
darkblue15,30,4,42,1560.67700050771,2
darkblue15,30,4,36,1561.00899428129,3
darkblue15,30,4,9,1570.59599719942,3
darkblue15,30,4,18,1571.2259978056,3
darkblue15,30,4,26,1572.65999726951,3
darkblue15,30,4,34,1573.67499880493,3
darkblue15,30,4,42,1574.88199286163,3
darkblue15,30,4,13,1577.85599604249,3
darkblue15,30,4,2,1583.80399234593,3
darkblue15,30,4,10,1584.38099585474,3
darkblue15,30,4,26,1585.15099771321,3
darkblue15,30,4,42,1586.30600050092,3
darkblue15,30,4,36,1589.0699967742,3
darkblue15,30,4,27,1591.67599752545,1
darkblue15,30,4,41,1595.96199318767,3
darkblue15,30,4,50,1596.67999371886,3
darkblue15,30,4,52,1597.64199815691,3
darkblue15,30,4,31,1600.94799511135,3
darkblue15,30,4,23,1601.38499736786,3
darkblue15,30,4,15,1602.17299349606,3
darkblue15,30,4,13,1602.94199958444,3
darkblue15,30,4,26,1605.25199510157,3
darkblue15,30,4,33,1608.45299363136,3
darkblue15,30,4,17,1609.5549993217,3
darkblue15,30,4,9,1610.58699935675,3
darkblue15,30,4,3,1612.12699301541,3
darkblue15,30,4,4,1612.66899369657,3
darkblue15,30,4,12,1613.38599845767,3
darkblue15,30,4,28,1614.1909930855,3
darkblue15,30,4,27,1616.27299748361,2
darkblue15,30,4,42,1618.30199472606,1
darkblue15,30,4,64,1621.6079916805,3
darkblue15,30,4,39,1625.14199987054,3
darkblue15,30,4,26,1628.7459935993,3
darkblue15,30,4,34,1629.75999936461,3
darkblue15,30,4,50,1631.05499334633,3
darkblue15,30,4,52,1631.7549996078,3
darkblue15,30,4,54,1632.73399248719,3
darkblue15,30,4,47,1633.95899087191,3
darkblue15,30,4,39,1634.65899713337,3
darkblue15,30,4,40,1635.35899333656,3
darkblue15,30,5,28,1763.45000043511,3
darkblue15,30,5,54,1765.18199667335,3
darkblue15,30,5,56,1766.21399670839,3
darkblue15,30,5,47,1766.84399731457,3
darkblue15,30,5,39,1767.35099516809,3
darkblue15,30,5,31,1768.08599419892,3
darkblue15,30,5,15,1769.25799548626,3
darkblue15,30,5,13,1770.20299136639,3
darkblue15,30,5,5,1770.9380004555,3
darkblue15,30,5,12,1771.60199806094,3
darkblue15,30,5,9,1772.93199487031,3
darkblue15,30,5,1,1773.68399240077,3
darkblue15,30,5,2,1774.22599308193,3
darkblue15,30,5,6,1775.81799812615,3
